TITLE SDSC GRID  [+0.2]   VTURB 2.0 KM/S    L/H 1.25                            
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.58489 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 2.38434742E+01   2824.2 2.383E+01 7.929E+08 6.514E-05 3.303E-04 2.000E+05 0.000E+00 0.000E+00
 2.86382446E+01   2847.1 2.863E+01 9.626E+08 7.397E-05 3.171E-04 2.000E+05 0.000E+00 0.000E+00
 3.42596986E+01   2870.1 3.425E+01 1.165E+09 8.427E-05 3.047E-04 2.000E+05 0.000E+00 0.000E+00
 4.08238534E+01   2893.0 4.081E+01 1.406E+09 9.647E-05 2.956E-04 2.000E+05 0.000E+00 0.000E+00
 4.84515027E+01   2916.2 4.843E+01 1.691E+09 1.109E-04 2.897E-04 2.000E+05 0.000E+00 0.000E+00
 5.72853263E+01   2940.0 5.726E+01 2.032E+09 1.279E-04 2.842E-04 2.000E+05 0.000E+00 0.000E+00
 6.74949383E+01   2964.2 6.747E+01 2.436E+09 1.477E-04 2.796E-04 2.000E+05 0.000E+00 0.000E+00
 7.92746238E+01   2988.8 7.925E+01 2.918E+09 1.708E-04 2.764E-04 2.000E+05 0.000E+00 0.000E+00
 9.28458942E+01   3014.0 9.282E+01 3.490E+09 1.979E-04 2.752E-04 2.000E+05 0.000E+00 0.000E+00
 1.08421889E+02   3040.1 1.084E+02 4.176E+09 2.307E-04 2.811E-04 2.000E+05 0.000E+00 0.000E+00
 1.26200029E+02   3067.4 1.262E+02 5.002E+09 2.700E-04 2.899E-04 2.000E+05 0.000E+00 0.000E+00
 1.46411917E+02   3096.5 1.464E+02 6.003E+09 3.173E-04 3.003E-04 2.000E+05 0.000E+00 0.000E+00
 1.69304804E+02   3127.6 1.693E+02 7.226E+09 3.743E-04 3.129E-04 2.000E+05 0.000E+00 0.000E+00
 1.95143001E+02   3160.8 1.951E+02 8.727E+09 4.432E-04 3.293E-04 2.000E+05 0.000E+00 0.000E+00
 2.24033985E+02   3198.4 2.240E+02 1.064E+10 5.325E-04 3.583E-04 2.000E+05 0.000E+00 0.000E+00
 2.55974943E+02   3240.0 2.559E+02 1.308E+10 6.445E-04 3.919E-04 2.000E+05 0.000E+00 0.000E+00
 2.91014085E+02   3286.4 2.909E+02 1.623E+10 7.874E-04 4.335E-04 2.000E+05 0.000E+00 0.000E+00
 3.28903735E+02   3340.4 3.288E+02 2.046E+10 9.809E-04 4.958E-04 2.000E+05 0.000E+00 0.000E+00
