TITLE SDSC GRID  [+1.0]   VTURB 2.0 KM/S    L/H 1.25
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE  10.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 7.39265613E+00   2861.0 7.376E+00 1.430E+09 1.945E-04 1.578E-03 2.000E+05 0.000E+00 0.000E+00
 9.00912491E+00   2888.5 8.990E+00 1.770E+09 2.181E-04 1.471E-03 2.000E+05 0.000E+00 0.000E+00
 1.09223721E+01   2915.6 1.090E+01 2.179E+09 2.468E-04 1.370E-03 2.000E+05 0.000E+00 0.000E+00
 1.31727009E+01   2942.7 1.315E+01 2.672E+09 2.802E-04 1.273E-03 2.000E+05 0.000E+00 0.000E+00
 1.58123177E+01   2970.1 1.578E+01 3.267E+09 3.189E-04 1.188E-03 2.000E+05 0.000E+00 0.000E+00
 1.89021585E+01   2997.9 1.887E+01 3.985E+09 3.637E-04 1.115E-03 2.000E+05 0.000E+00 0.000E+00
 2.25081389E+01   3025.9 2.247E+01 4.849E+09 4.165E-04 1.059E-03 2.000E+05 0.000E+00 0.000E+00
 2.66896321E+01   3054.4 2.665E+01 5.887E+09 4.808E-04 1.028E-03 2.000E+05 0.000E+00 0.000E+00
 3.15148747E+01   3083.6 3.147E+01 7.136E+09 5.560E-04 9.899E-04 2.000E+05 0.000E+00 0.000E+00
 3.70719835E+01   3112.9 3.702E+01 8.630E+09 6.446E-04 9.587E-04 2.000E+05 0.000E+00 0.000E+00
 4.34606131E+01   3143.1 4.340E+01 1.043E+10 7.482E-04 9.346E-04 2.000E+05 0.000E+00 0.000E+00
 5.07860117E+01   3174.1 5.072E+01 1.260E+10 8.722E-04 9.297E-04 2.000E+05 0.000E+00 0.000E+00
 5.91348809E+01   3206.7 5.906E+01 1.525E+10 1.024E-03 9.444E-04 2.000E+05 0.000E+00 0.000E+00
 6.86083214E+01   3240.9 6.853E+01 1.847E+10 1.204E-03 9.571E-04 2.000E+05 0.000E+00 0.000E+00
 7.93417579E+01   3276.9 7.925E+01 2.242E+10 1.418E-03 9.713E-04 2.000E+05 0.000E+00 0.000E+00
 9.14920567E+01   3314.3 9.139E+01 2.726E+10 1.672E-03 9.987E-04 2.000E+05 0.000E+00 0.000E+00
 1.05110863E+02   3356.7 1.050E+02 3.349E+10 2.009E-03 1.082E-03 2.000E+05 0.000E+00 0.000E+00
 1.20167817E+02   3403.6 1.200E+02 4.144E+10 2.431E-03 1.180E-03 2.000E+05 0.000E+00 0.000E+00
