ITLE SDSC GRID  [-3.5]   VTURB 2.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE  .0003162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
6.86368125E+02   2755.2 6.864E+02 1.921E+07 3.690E-06 8.192E-06 2.000E+05 0.000E+00 0.000E+00
8.00140892E+02   2789.1 8.001E+02 2.419E+07 4.118E-06 8.321E-06 2.000E+05 0.000E+00 0.000E+00
9.36587187E+02   2819.6 9.366E+02 3.006E+07 4.565E-06 8.457E-06 2.000E+05 0.000E+00 0.000E+00
1.10127441E+03   2847.1 1.101E+03 3.698E+07 5.031E-06 8.606E-06 2.000E+05 0.000E+00 0.000E+00
1.30077173E+03   2873.0 1.301E+03 4.530E+07 5.535E-06 8.778E-06 2.000E+05 0.000E+00 0.000E+00
1.54233717E+03   2898.8 1.542E+03 5.551E+07 6.103E-06 8.985E-06 2.000E+05 0.000E+00 0.000E+00
1.83398389E+03   2925.1 1.834E+03 6.814E+07 6.754E-06 9.236E-06 2.000E+05 0.000E+00 0.000E+00
2.18454455E+03   2952.6 2.185E+03 8.388E+07 7.515E-06 9.547E-06 2.000E+05 0.000E+00 0.000E+00
2.60306950E+03   2982.3 2.603E+03 1.037E+08 8.424E-06 9.935E-06 2.000E+05 0.000E+00 0.000E+00
3.09879999E+03   3014.8 3.099E+03 1.286E+08 9.526E-06 1.042E-05 2.000E+05 0.000E+00 0.000E+00
3.68036876E+03   3050.9 3.680E+03 1.602E+08 1.088E-05 1.103E-05 2.000E+05 0.000E+00 0.000E+00
4.35522096E+03   3091.4 4.355E+03 2.003E+08 1.258E-05 1.179E-05 2.000E+05 0.000E+00 0.000E+00
5.13035752E+03   3136.2 5.130E+03 2.505E+08 1.467E-05 1.273E-05 2.000E+05 0.000E+00 0.000E+00
6.01052165E+03   3187.6 6.010E+03 3.142E+08 1.734E-05 1.390E-05 2.000E+05 0.000E+00 0.000E+00
6.99864016E+03   3245.1 6.998E+03 3.944E+08 2.070E-05 1.535E-05 2.000E+05 0.000E+00 0.000E+00
8.09558538E+03   3309.2 8.095E+03 4.969E+08 2.504E-05 1.720E-05 2.000E+05 0.000E+00 0.000E+00
9.28836239E+03   3386.7 9.288E+03 6.436E+08 3.128E-05 1.975E-05 2.000E+05 4.532E-08 0.000E+00
1.05169396E+04   3485.8 1.052E+04 9.055E+08 4.239E-05 2.374E-05 2.000E+05 1.096E-04 0.000E+00
