TITLE SDSC GRID  [-4.0]   VTURB 2.0 KM/S    L/H 1.25
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00010 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 7.37103423E+02   2734.3 7.371E+02 8.693E+06 2.727E-06 7.461E-06 2.000E+05 0.000E+00 0.000E+00
 8.52590744E+02   2772.6 8.526E+02 1.097E+07 3.040E-06 7.552E-06 2.000E+05 0.000E+00 0.000E+00
 9.91417025E+02   2806.9 9.914E+02 1.364E+07 3.358E-06 7.633E-06 2.000E+05 0.000E+00 0.000E+00
 1.15970292E+03   2837.5 1.160E+03 1.677E+07 3.682E-06 7.710E-06 2.000E+05 0.000E+00 0.000E+00
 1.36482357E+03   2865.7 1.365E+03 2.050E+07 4.022E-06 7.790E-06 2.000E+05 0.000E+00 0.000E+00
 1.61536729E+03   2892.8 1.615E+03 2.505E+07 4.391E-06 7.881E-06 2.000E+05 0.000E+00 0.000E+00
 1.92124270E+03   2919.7 1.921E+03 3.064E+07 4.800E-06 7.988E-06 2.000E+05 0.000E+00 0.000E+00
 2.29392253E+03   2946.8 2.294E+03 3.754E+07 5.261E-06 8.118E-06 2.000E+05 0.000E+00 0.000E+00
 2.74620240E+03   2975.5 2.746E+03 4.619E+07 5.796E-06 8.283E-06 2.000E+05 0.000E+00 0.000E+00
 3.29194613E+03   3006.4 3.292E+03 5.705E+07 6.427E-06 8.491E-06 2.000E+05 0.000E+00 0.000E+00
 3.94540311E+03   3040.8 3.945E+03 7.085E+07 7.188E-06 8.757E-06 2.000E+05 0.000E+00 0.000E+00
 4.72105231E+03   3078.9 4.721E+03 8.834E+07 8.110E-06 9.096E-06 2.000E+05 0.000E+00 0.000E+00
 5.63258664E+03   3121.5 5.633E+03 1.108E+08 9.256E-06 9.537E-06 2.000E+05 0.000E+00 0.000E+00
 6.69085628E+03   3169.2 6.691E+03 1.400E+08 1.070E-05 1.012E-05 2.000E+05 0.000E+00 0.000E+00
 7.90016256E+03   3223.3 7.900E+03 1.796E+08 1.261E-05 1.090E-05 2.000E+05 0.000E+00 0.000E+00
 9.25207273E+03   3282.5 9.252E+03 2.361E+08 1.524E-05 1.202E-05 2.000E+05 0.000E+00 0.000E+00
 1.07180909E+04   3347.7 1.072E+04 3.239E+08 1.916E-05 1.378E-05 2.000E+05 8.549E-09 0.000E+00
 1.21974028E+04   3436.3 1.220E+04 5.067E+08 2.709E-05 1.711E-05 2.000E+05 2.465E-04 0.000E+00
