4.77379676E+02   2481.2 4.774E+02 1.101E+06 1.058E-06 6.393E-06 2.000E+05 0.000E+00 0.000E+00
5.45005498E+02   2540.7 5.450E+02 1.560E+06 1.281E-06 6.576E-06 2.000E+05 0.000E+00 0.000E+00
6.20126996E+02   2599.2 6.201E+02 2.167E+06 1.526E-06 6.752E-06 2.000E+05 0.000E+00 0.000E+00
7.05251806E+02   2653.1 7.052E+02 2.903E+06 1.773E-06 6.901E-06 2.000E+05 0.000E+00 0.000E+00
8.04029065E+02   2701.4 8.040E+02 3.754E+06 2.017E-06 7.018E-06 2.000E+05 0.000E+00 0.000E+00
9.21025136E+02   2743.9 9.210E+02 4.721E+06 2.252E-06 7.107E-06 2.000E+05 0.000E+00 0.000E+00
1.06150634E+03   2783.0 1.061E+03 5.854E+06 2.489E-06 7.179E-06 2.000E+05 0.000E+00 0.000E+00
1.23186701E+03   2817.7 1.232E+03 7.171E+06 2.725E-06 7.236E-06 2.000E+05 0.000E+00 0.000E+00
1.43983175E+03   2850.2 1.440E+03 8.755E+06 2.972E-06 7.288E-06 2.000E+05 0.000E+00 0.000E+00
1.69476007E+03   2879.9 1.695E+03 1.066E+07 3.228E-06 7.335E-06 2.000E+05 0.000E+00 0.000E+00
2.00737308E+03   2910.2 2.007E+03 1.305E+07 3.514E-06 7.388E-06 2.000E+05 0.000E+00 0.000E+00
2.39036284E+03   2939.3 2.390E+03 1.600E+07 3.826E-06 7.446E-06 2.000E+05 0.000E+00 0.000E+00
2.85872471E+03   2969.0 2.859E+03 1.973E+07 4.180E-06 7.519E-06 2.000E+05 0.000E+00 0.000E+00
3.42883991E+03   3000.3 3.429E+03 2.450E+07 4.593E-06 7.612E-06 2.000E+05 0.000E+00 0.000E+00
4.11781161E+03   3034.4 4.118E+03 3.073E+07 5.089E-06 7.736E-06 2.000E+05 0.000E+00 0.000E+00
4.94284157E+03   3071.7 4.943E+03 3.904E+07 5.697E-06 7.905E-06 2.000E+05 0.000E+00 0.000E+00
5.91897237E+03   3112.4 5.919E+03 5.045E+07 6.467E-06 8.142E-06 2.000E+05 0.000E+00 0.000E+00
7.05516577E+03   3157.1 7.055E+03 6.679E+07 7.481E-06 8.485E-06 2.000E+05 0.000E+00 0.000E+00
8.34908059E+03   3206.5 8.349E+03 9.147E+07 8.874E-06 8.999E-06 2.000E+05 0.000E+00 0.000E+00
9.77087047E+03   3261.2 9.771E+03 1.306E+08 1.091E-05 9.805E-06 2.000E+05 0.000E+00 0.000E+00
1.13361300E+04   3302.0 1.134E+04 1.768E+08 1.305E-05 1.089E-05 2.000E+05 2.135E-07 0.000E+00
1.29379664E+04   3392.4 1.294E+04 3.181E+08 1.946E-05 1.368E-05 2.000E+05 1.732E-04 0.000E+00
1.40258491E+04   3554.2 1.402E+04 8.755E+08 4.302E-05 2.099E-05 2.000E+05 3.507E-03 0.000E+00
1.48583856E+04   3627.6 1.486E+04 1.392E+09 6.375E-05 2.568E-05 2.000E+05 2.821E-02 0.000E+00
1.57347633E+04   3645.6 1.573E+04 1.592E+09 7.146E-05 2.638E-05 2.000E+05 8.100E-02 0.000E+00
1.66894137E+04   3696.4 1.669E+04 2.203E+09 9.512E-05 3.062E-05 2.000E+05 1.413E-01 2.271E+03
1.76605597E+04   3742.1 1.766E+04 2.938E+09 1.231E-04 3.508E-05 2.000E+05 1.862E-01 2.860E+03
1.86439564E+04   3797.0 1.864E+04 4.095E+09 1.663E-04 4.234E-05 2.000E+05 2.147E-01 8.793E+03
1.95959736E+04   3861.9 1.959E+04 5.961E+09 2.343E-04 5.402E-05 2.000E+05 2.470E-01 2.346E+04
2.04600546E+04   3947.1 2.046E+04 9.488E+09 3.587E-04 7.539E-05 2.000E+05 2.822E-01 4.308E+04
2.11937304E+04   4046.9 2.119E+04 1.588E+10 5.741E-04 1.095E-04 2.000E+05 3.205E-01 4.177E+04
