EFF  17000.  GRAVITY 4.50000 LTE 
ITLE SDSC GRID  [-0.5]   VTURB 2.0 KM/S                                        
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.31620 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
5.51620065E-06   9453.5 1.737E-01 6.347E+10 3.151E-01 1.248E+02 2.000E+05
5.64653252E-06   9654.4 1.779E-01 6.365E+10 3.151E-01 1.215E+02 2.000E+05
7.51244163E-06   9717.3 2.366E-01 8.413E+10 3.200E-01 1.258E+02 2.000E+05
9.96209777E-06   9784.1 3.138E-01 1.108E+11 3.258E-01 1.304E+02 2.000E+05
1.31654166E-05   9860.7 4.147E-01 1.452E+11 3.326E-01 1.348E+02 2.000E+05
1.73425544E-05   9942.0 5.462E-01 1.897E+11 3.407E-01 1.390E+02 2.000E+05
2.27714445E-05  10029.3 7.171E-01 2.469E+11 3.502E-01 1.429E+02 2.000E+05
2.98001665E-05  10123.2 9.383E-01 3.201E+11 3.614E-01 1.465E+02 2.000E+05
3.88636072E-05  10220.9 1.224E+00 4.134E+11 3.744E-01 1.496E+02 2.000E+05
5.05034224E-05  10320.4 1.590E+00 5.319E+11 3.896E-01 1.522E+02 2.000E+05
6.53850336E-05  10419.0 2.058E+00 6.821E+11 4.073E-01 1.545E+02 2.000E+05
8.43189676E-05  10514.8 2.654E+00 8.714E+11 4.280E-01 1.572E+02 2.000E+05
1.08280042E-04  10605.9 3.408E+00 1.109E+12 4.522E-01 1.610E+02 2.000E+05
1.38432918E-04  10694.4 4.357E+00 1.406E+12 4.805E-01 1.663E+02 2.000E+05
1.76170859E-04  10781.6 5.544E+00 1.775E+12 5.132E-01 1.727E+02 2.000E+05
2.23161148E-04  10868.4 7.021E+00 2.229E+12 5.509E-01 1.799E+02 2.000E+05
2.81396513E-04  10955.9 8.852E+00 2.788E+12 5.941E-01 1.878E+02 2.000E+05
3.53261456E-04  11045.5 1.111E+01 3.471E+12 6.432E-01 1.958E+02 2.000E+05
4.41576776E-04  11135.8 1.389E+01 4.302E+12 6.995E-01 2.045E+02 2.000E+05
5.49613162E-04  11223.4 1.728E+01 5.310E+12 7.643E-01 2.147E+02 2.000E+05
6.81101463E-04  11308.1 2.141E+01 6.529E+12 8.395E-01 2.278E+02 2.000E+05
8.40374983E-04  11388.5 2.641E+01 7.995E+12 9.260E-01 2.434E+02 2.000E+05
1.03255808E-03  11466.0 3.244E+01 9.752E+12 1.025E+00 2.620E+02 2.000E+05
1.26376539E-03  11544.2 3.969E+01 1.185E+13 1.137E+00 2.828E+02 2.000E+05
1.54124291E-03  11622.0 4.838E+01 1.434E+13 1.265E+00 3.060E+02 2.000E+05
1.87356450E-03  11700.4 5.878E+01 1.731E+13 1.410E+00 3.318E+02 2.000E+05
2.27090805E-03  11779.3 7.121E+01 2.082E+13 1.574E+00 3.605E+02 2.000E+05
2.74533889E-03  11858.8 8.603E+01 2.498E+13 1.759E+00 3.925E+02 2.000E+05
3.31119846E-03  11939.6 1.037E+02 2.989E+13 1.967E+00 4.284E+02 2.000E+05
3.98621482E-03  12026.8 1.247E+02 3.569E+13 2.198E+00 4.667E+02 2.000E+05
4.79120420E-03  12113.8 1.498E+02 4.254E+13 2.459E+00 5.104E+02 2.000E+05
