TITLE SDSC GRID  [+0.3]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.99530 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 9.74699274E-02  42172.9 7.649E+03 6.825E+14 1.849E+00 2.451E+04 2.000E+05
 1.20644340E-01  43081.7 9.388E+03 8.204E+14 1.984E+00 2.532E+04 2.000E+05
 1.49499016E-01  44118.5 1.153E+04 9.846E+14 2.121E+00 2.605E+04 2.000E+05
 1.85616463E-01  45298.5 1.419E+04 1.181E+15 2.252E+00 2.661E+04 2.000E+05
 2.31159549E-01  46642.5 1.752E+04 1.417E+15 2.373E+00 2.697E+04 2.000E+05
 2.89050228E-01  48178.9 2.175E+04 1.702E+15 2.479E+00 2.720E+04 2.000E+05
 3.63272565E-01  49938.6 2.714E+04 2.051E+15 2.566E+00 2.729E+04 2.000E+05
 4.59847989E-01  51937.1 3.419E+04 2.484E+15 2.607E+00 2.685E+04 2.000E+05
 5.87193201E-01  54209.3 4.353E+04 3.031E+15 2.626E+00 2.640E+04 2.000E+05
 7.56664208E-01  56784.6 5.605E+04 3.726E+15 2.618E+00 2.592E+04 2.000E+05
 9.85370547E-01  59716.5 7.309E+04 4.621E+15 2.567E+00 2.506E+04 2.000E+05
 1.29862343E+00  63020.8 9.671E+04 5.794E+15 2.483E+00 2.417E+04 2.000E+05
 1.72924071E+00  66768.9 1.295E+05 7.324E+15 2.416E+00 2.345E+04 2.000E+05
 2.32259168E+00  70920.1 1.752E+05 9.329E+15 2.326E+00 2.252E+04 2.000E+05
 3.14060624E+00  75555.6 2.389E+05 1.194E+16 2.264E+00 2.189E+04 2.000E+05
 4.26221021E+00  80601.0 3.269E+05 1.531E+16 2.202E+00 2.120E+04 2.000E+05
 5.77819220E+00  86140.7 4.464E+05 1.957E+16 2.199E+00 2.113E+04 2.000E+05
 7.80112776E+00  92151.9 6.061E+05 2.483E+16 2.198E+00 2.105E+04 2.000E+05
 1.04872287E+01  98687.1 8.180E+05 3.129E+16 2.218E+00 2.117E+04 2.000E+05
 1.40390889E+01 105770.5 1.098E+06 3.918E+16 2.236E+00 2.130E+04 2.000E+05
 1.87282699E+01 113450.7 1.466E+06 4.880E+16 2.262E+00 2.147E+04 2.000E+05
 2.49056847E+01 121732.8 1.950E+06 6.049E+16 2.291E+00 2.184E+04 2.000E+05
 3.30416071E+01 130726.9 2.585E+06 7.467E+16 2.319E+00 2.199E+04 2.000E+05
 4.37567862E+01 140360.2 3.424E+06 9.210E+16 2.350E+00 2.146E+04 2.000E+05
PRADK 9.2760E+03
BEGIN                    ITERATION   6 COMPLETED
