3.60923728E-02   9857.9 3.536E+02 1.028E+14 9.090E+00 3.432E+02 2.000E+05
4.22207958E-02  10108.4 4.126E+02 1.218E+14 1.022E+01 3.754E+02 2.000E+05
4.95950533E-02  10399.4 4.835E+02 1.439E+14 1.117E+01 3.999E+02 2.000E+05
5.87309069E-02  10738.2 5.711E+02 1.698E+14 1.185E+01 4.170E+02 2.000E+05
7.04006028E-02  11134.5 6.829E+02 2.007E+14 1.218E+01 4.246E+02 2.000E+05
8.58489560E-02  11596.3 8.309E+02 2.388E+14 1.206E+01 4.183E+02 2.000E+05
1.06988627E-01  12132.3 1.034E+03 2.876E+14 1.160E+01 4.036E+02 2.000E+05
1.36559256E-01  12752.4 1.318E+03 3.517E+14 1.095E+01 3.839E+02 2.000E+05
1.78615210E-01  13465.2 1.723E+03 4.378E+14 1.023E+01 3.609E+02 2.000E+05
2.38585063E-01  14268.0 2.301E+03 5.547E+14 9.601E+00 3.387E+02 2.000E+05
3.23162880E-01  15160.4 3.119E+03 7.120E+14 9.159E+00 3.202E+02 2.000E+05
4.39756412E-01  16129.4 4.249E+03 9.199E+14 8.970E+00 3.083E+02 2.000E+05
5.96685232E-01  17174.8 5.770E+03 1.186E+15 8.958E+00 3.029E+02 2.000E+05
8.06020013E-01  18305.5 7.800E+03 1.520E+15 8.961E+00 2.993E+02 2.000E+05
1.08558408E+00  19533.7 1.051E+04 1.931E+15 8.931E+00 2.959E+02 2.000E+05
1.45926351E+00  20867.9 1.414E+04 2.440E+15 8.926E+00 2.941E+02 2.000E+05
1.95616635E+00  22320.9 1.896E+04 3.064E+15 8.986E+00 2.946E+02 2.000E+05
2.61022875E+00  23896.4 2.531E+04 3.823E+15 9.159E+00 2.988E+02 2.000E+05
3.46106303E+00  25608.5 3.356E+04 4.732E+15 9.439E+00 3.060E+02 2.000E+05
4.55450622E+00  27457.8 4.415E+04 5.808E+15 9.854E+00 3.164E+02 2.000E+05
5.94353875E+00  29460.3 5.760E+04 7.062E+15 1.040E+01 3.298E+02 2.000E+05
7.69065347E+00  31621.7 7.448E+04 8.509E+15 1.107E+01 3.442E+02 2.000E+05
9.86676534E+00  33951.8 9.550E+04 1.017E+16 1.192E+01 3.385E+02 2.000E+05
RADK 3.0952E+01
EGIN                    ITERATION   6 COMPLETED
