2.35695171E-01   7987.0 2.354E+03 8.999E+13 1.992E+00 3.024E+01 2.000E+05
2.60999881E-01   8171.0 2.606E+03 1.178E+14 2.755E+00 4.099E+01 2.000E+05
2.84945223E-01   8389.4 2.844E+03 1.568E+14 3.956E+00 5.752E+01 2.000E+05
3.06779786E-01   8644.2 3.061E+03 2.114E+14 5.885E+00 8.351E+01 2.000E+05
3.26071626E-01   8941.6 3.252E+03 2.875E+14 8.997E+00 1.241E+02 2.000E+05
3.42748066E-01   9282.9 3.416E+03 3.900E+14 1.394E+01 1.869E+02 2.000E+05
3.57196431E-01   9672.0 3.558E+03 5.218E+14 2.122E+01 2.766E+02 2.000E+05
3.70050923E-01  10113.9 3.682E+03 6.776E+14 3.079E+01 3.935E+02 2.000E+05
3.82536746E-01  10619.0 3.801E+03 8.403E+14 4.043E+01 5.088E+02 2.000E+05
3.96088679E-01  11189.2 3.929E+03 9.781E+14 4.624E+01 5.818E+02 2.000E+05
4.13525971E-01  11837.4 4.094E+03 1.072E+15 4.391E+01 5.529E+02 2.000E+05
4.39729497E-01  12568.9 4.342E+03 1.134E+15 3.659E+01 4.648E+02 2.000E+05
4.83483368E-01  13388.5 4.762E+03 1.198E+15 2.837E+01 3.605E+02 2.000E+05
5.58693806E-01  14288.6 5.490E+03 1.311E+15 2.225E+01 2.813E+02 2.000E+05
6.83025970E-01  15263.4 6.702E+03 1.510E+15 1.850E+01 2.320E+02 2.000E+05
8.75097943E-01  16319.0 8.581E+03 1.825E+15 1.653E+01 2.060E+02 2.000E+05
1.15243960E+00  17461.4 1.130E+04 2.273E+15 1.568E+01 1.943E+02 2.000E+05
1.53568683E+00  18696.9 1.506E+04 2.862E+15 1.532E+01 1.891E+02 2.000E+05
2.05661790E+00  20039.2 2.017E+04 3.605E+15 1.508E+01 1.857E+02 2.000E+05
2.75894040E+00  21486.3 2.706E+04 4.530E+15 1.499E+01 1.842E+02 2.000E+05
3.69580035E+00  23055.8 3.626E+04 5.668E+15 1.507E+01 1.847E+02 2.000E+05
4.92735808E+00  24744.2 4.835E+04 7.048E+15 1.540E+01 1.873E+02 2.000E+05
6.52309512E+00  26565.5 6.401E+04 8.696E+15 1.596E+01 1.842E+02 2.000E+05
RADK 1.1887E+01
EGIN                    ITERATION   6 COMPLETED
