EFF  20000.  GRAVITY 3.00000 LTE 
ITLE SDSC GRID  [-0.5]   VTURB 2.0 KM/S                                        
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.31620 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
5.24735611E-06  10299.9 4.392E-03 1.535E+09 3.186E-01 1.631E+02 2.000E+05
5.58422859E-06  10510.4 4.674E-03 1.604E+09 3.186E-01 1.600E+02 2.000E+05
7.44525761E-06  10559.9 6.240E-03 2.130E+09 3.184E-01 1.573E+02 2.000E+05
9.92939581E-06  10630.0 8.337E-03 2.827E+09 3.184E-01 1.541E+02 2.000E+05
1.32383786E-05  10712.3 1.114E-02 3.747E+09 3.186E-01 1.524E+02 2.000E+05
1.76494575E-05  10713.3 1.487E-02 4.993E+09 3.183E-01 1.574E+02 2.000E+05
2.35342304E-05  10829.4 1.982E-02 6.586E+09 3.192E-01 1.594E+02 2.000E+05
3.13650213E-05  10897.9 2.639E-02 8.707E+09 3.196E-01 1.634E+02 2.000E+05
4.17850737E-05  11015.3 3.509E-02 1.146E+10 3.206E-01 1.660E+02 2.000E+05
5.56303831E-05  11155.3 4.663E-02 1.504E+10 3.219E-01 1.667E+02 2.000E+05
7.40023047E-05  11330.6 6.198E-02 1.970E+10 3.237E-01 1.618E+02 2.000E+05
9.83572767E-05  11499.9 8.247E-02 2.584E+10 3.257E-01 1.563E+02 2.000E+05
1.30643535E-04  11658.7 1.098E-01 3.393E+10 3.276E-01 1.525E+02 2.000E+05
1.73432095E-04  11813.1 1.461E-01 4.459E+10 3.297E-01 1.495E+02 2.000E+05
2.30116407E-04  11961.8 1.944E-01 5.859E+10 3.320E-01 1.473E+02 2.000E+05
3.05176128E-04  12108.9 2.585E-01 7.697E+10 3.344E-01 1.453E+02 2.000E+05
4.04498601E-04  12254.8 3.435E-01 1.011E+11 3.371E-01 1.430E+02 2.000E+05
5.35793043E-04  12394.4 4.562E-01 1.327E+11 3.403E-01 1.405E+02 2.000E+05
7.09168976E-04  12520.5 6.054E-01 1.743E+11 3.438E-01 1.385E+02 2.000E+05
9.37812724E-04  12633.0 8.025E-01 2.290E+11 3.480E-01 1.374E+02 2.000E+05
1.23871065E-03  12732.9 1.062E+00 3.006E+11 3.530E-01 1.376E+02 2.000E+05
1.63363835E-03  12824.1 1.402E+00 3.939E+11 3.592E-01 1.392E+02 2.000E+05
2.15050067E-03  12912.4 1.847E+00 5.148E+11 3.665E-01 1.419E+02 2.000E+05
2.82486620E-03  13005.1 2.424E+00 6.707E+11 3.752E-01 1.453E+02 2.000E+05
3.70174402E-03  13106.0 3.172E+00 8.704E+11 3.854E-01 1.492E+02 2.000E+05
4.83737645E-03  13220.2 4.135E+00 1.125E+12 3.977E-01 1.536E+02 2.000E+05
6.30215979E-03  13344.0 5.372E+00 1.447E+12 4.119E-01 1.580E+02 2.000E+05
8.18471038E-03  13478.9 6.953E+00 1.854E+12 4.281E-01 1.623E+02 2.000E+05
1.05957030E-02  13623.0 8.967E+00 2.365E+12 4.465E-01 1.665E+02 2.000E+05
1.36719983E-02  13775.2 1.152E+01 3.006E+12 4.675E-01 1.709E+02 2.000E+05
1.75817970E-02  13931.1 1.476E+01 3.807E+12 4.914E-01 1.756E+02 2.000E+05
