1.51462934E-01   5227.1 4.790E+03 6.561E+11 1.344E-02 5.347E-02 2.000E+05 0.000E+00 0.000E+00
1.82885933E-01   5232.4 5.783E+03 7.322E+11 1.485E-02 5.826E-02 2.000E+05 0.000E+00 0.000E+00
2.20801447E-01   5237.7 6.982E+03 8.172E+11 1.642E-02 6.360E-02 2.000E+05 0.000E+00 0.000E+00
2.66503244E-01   5243.6 8.428E+03 9.136E+11 1.818E-02 6.964E-02 2.000E+05 0.000E+00 0.000E+00
3.21512738E-01   5250.1 1.017E+04 1.023E+12 2.015E-02 7.646E-02 2.000E+05 0.000E+00 0.000E+00
3.87563476E-01   5258.0 1.226E+04 1.149E+12 2.242E-02 8.432E-02 2.000E+05 0.000E+00 0.000E+00
4.66621852E-01   5267.4 1.476E+04 1.296E+12 2.502E-02 9.338E-02 2.000E+05 0.000E+00 0.000E+00
5.60848833E-01   5279.3 1.774E+04 1.470E+12 2.806E-02 1.040E-01 2.000E+05 0.000E+00 0.000E+00
6.72546173E-01   5294.0 2.127E+04 1.679E+12 3.166E-02 1.166E-01 2.000E+05 0.000E+00 0.000E+00
8.04092737E-01   5312.6 2.543E+04 1.936E+12 3.599E-02 1.317E-01 2.000E+05 0.000E+00 0.000E+00
9.57743314E-01   5335.8 3.029E+04 2.257E+12 4.126E-02 1.501E-01 2.000E+05 0.000E+00 0.000E+00
1.13535160E+00   5365.6 3.590E+04 2.671E+12 4.790E-02 1.733E-01 2.000E+05 0.000E+00 0.000E+00
1.33818807E+00   5402.2 4.232E+04 3.209E+12 5.627E-02 2.025E-01 2.000E+05 0.000E+00 0.000E+00
1.56620117E+00   5449.6 4.953E+04 3.950E+12 6.739E-02 2.413E-01 2.000E+05 0.000E+00 0.000E+00
1.81864369E+00   5505.3 5.751E+04 4.940E+12 8.168E-02 2.912E-01 2.000E+05 1.916E-07 0.000E+00
2.09059869E+00   5580.4 6.611E+04 6.443E+12 1.024E-01 3.633E-01 2.000E+05 5.282E-07 0.000E+00
2.38394763E+00   5647.4 7.539E+04 8.164E+12 1.252E-01 4.431E-01 2.000E+05 6.071E-07 0.000E+00
2.68620178E+00   5791.1 8.495E+04 1.234E+13 1.763E-01 6.244E-01 2.000E+05 8.663E-05 0.000E+00
2.94542837E+00   6043.4 9.315E+04 2.306E+13 2.949E-01 1.041E+00 2.000E+05 2.128E-03 5.999E+03
3.15416039E+00   6284.1 9.974E+04 3.973E+13 4.630E-01 1.587E+00 2.000E+05 3.205E-02 4.720E+03
3.34953920E+00   6440.6 1.059E+05 5.590E+13 6.167E-01 1.993E+00 2.000E+05 8.690E-02 7.898E+02
3.54974083E+00   6581.3 1.123E+05 7.520E+13 7.931E-01 2.381E+00 2.000E+05 1.461E-01 1.135E+03
3.75677454E+00   6734.0 1.188E+05 1.021E+14 1.031E+00 2.850E+00 2.000E+05 2.065E-01 5.848E+03
3.96700257E+00   6908.2 1.254E+05 1.419E+14 1.372E+00 3.492E+00 2.000E+05 2.651E-01 1.917E+04
4.17300888E+00   7121.3 1.320E+05 2.063E+14 1.912E+00 4.511E+00 2.000E+05 3.195E-01 4.864E+04
4.36496140E+00   7377.8 1.380E+05 3.128E+14 2.795E+00 6.061E+00 2.000E+05 3.698E-01 7.885E+04
4.54066957E+00   7642.9 1.436E+05 4.660E+14 4.073E+00 8.250E+00 2.000E+05 4.108E-01 1.023E+05
4.69353934E+00   7990.9 1.484E+05 7.500E+14 6.519E+00 1.220E+01 2.000E+05 4.502E-01 1.930E+05
4.82245521E+00   8322.4 1.525E+05 1.135E+15 1.002E+01 1.453E+01 2.000E+05 5.698E-01 2.492E+05
