EFF  25000.  GRAVITY 3.50000 LTE 
ITLE SDSC GRID  [-1.0]   VTURB 2.0 KM/S                                        
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.10000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
4.99038699E-06  13610.7 1.431E-02 3.809E+09 3.238E-01 2.939E+02 2.000E+05
5.49186548E-06  13842.8 1.575E-02 4.121E+09 3.238E-01 2.896E+02 2.000E+05
7.32062076E-06  13899.2 2.101E-02 5.473E+09 3.247E-01 2.919E+02 2.000E+05
9.75245291E-06  13958.7 2.798E-02 7.259E+09 3.257E-01 2.951E+02 2.000E+05
1.29848589E-05  14019.2 3.724E-02 9.620E+09 3.268E-01 2.985E+02 2.000E+05
1.72813373E-05  14078.4 4.954E-02 1.274E+10 3.279E-01 3.022E+02 2.000E+05
2.29911061E-05  14135.5 6.586E-02 1.687E+10 3.290E-01 3.065E+02 2.000E+05
3.05789701E-05  14189.8 8.751E-02 2.233E+10 3.301E-01 3.101E+02 2.000E+05
4.06642878E-05  14238.6 1.163E-01 2.957E+10 3.312E-01 3.137E+02 2.000E+05
5.40697933E-05  14284.1 1.544E-01 3.914E+10 3.323E-01 3.175E+02 2.000E+05
7.18838790E-05  14330.3 2.050E-01 5.181E+10 3.335E-01 3.228E+02 2.000E+05
9.55442932E-05  14381.6 2.722E-01 6.852E+10 3.350E-01 3.292E+02 2.000E+05
1.26955331E-04  14441.5 3.610E-01 9.051E+10 3.365E-01 3.351E+02 2.000E+05
1.68638997E-04  14513.6 4.788E-01 1.194E+11 3.383E-01 3.401E+02 2.000E+05
2.23911657E-04  14600.0 6.346E-01 1.574E+11 3.404E-01 3.453E+02 2.000E+05
2.97118164E-04  14702.3 8.406E-01 2.070E+11 3.429E-01 3.505E+02 2.000E+05
3.93950934E-04  14819.9 1.113E+00 2.718E+11 3.459E-01 3.551E+02 2.000E+05
5.21866667E-04  14951.7 1.472E+00 3.563E+11 3.494E-01 3.582E+02 2.000E+05
6.90569570E-04  15093.1 1.944E+00 4.663E+11 3.536E-01 3.614E+02 2.000E+05
9.12610864E-04  15240.8 2.566E+00 6.094E+11 3.587E-01 3.650E+02 2.000E+05
1.20419434E-03  15389.5 3.381E+00 7.952E+11 3.646E-01 3.689E+02 2.000E+05
1.58628784E-03  15536.3 4.448E+00 1.036E+12 3.714E-01 3.724E+02 2.000E+05
2.08574857E-03  15675.8 5.840E+00 1.348E+12 3.795E-01 3.779E+02 2.000E+05
2.73654040E-03  15807.8 7.649E+00 1.751E+12 3.890E-01 3.862E+02 2.000E+05
3.58199201E-03  15935.0 9.992E+00 2.269E+12 3.998E-01 3.946E+02 2.000E+05
4.67714627E-03  16060.5 1.302E+01 2.933E+12 4.123E-01 4.041E+02 2.000E+05
6.09006472E-03  16186.6 1.691E+01 3.779E+12 4.271E-01 4.180E+02 2.000E+05
7.90477661E-03  16322.7 2.187E+01 4.847E+12 4.443E-01 4.355E+02 2.000E+05
1.02260379E-02  16476.7 2.818E+01 6.186E+12 4.640E-01 4.556E+02 2.000E+05
1.31850481E-02  16655.1 3.615E+01 7.852E+12 4.861E-01 4.761E+02 2.000E+05
1.69466628E-02  16857.1 4.622E+01 9.918E+12 5.105E-01 4.963E+02 2.000E+05
