1.12504491E-01  30044.8 1.046E+04 1.260E+15 2.231E+00 8.717E+03 2.000E+05
1.37901206E-01  31074.7 1.278E+04 1.488E+15 2.437E+00 9.083E+03 2.000E+05
1.68859759E-01  32201.1 1.559E+04 1.752E+15 2.670E+00 9.461E+03 2.000E+05
2.06481183E-01  33431.0 1.899E+04 2.057E+15 2.935E+00 9.863E+03 2.000E+05
2.52035156E-01  34765.2 2.308E+04 2.409E+15 3.238E+00 1.029E+04 2.000E+05
3.06933557E-01  36211.9 2.799E+04 2.812E+15 3.593E+00 1.076E+04 2.000E+05
3.72733199E-01  37763.1 3.385E+04 3.274E+15 4.006E+00 1.123E+04 2.000E+05
4.51472757E-01  39414.4 4.082E+04 3.803E+15 4.454E+00 1.165E+04 2.000E+05
5.46650649E-01  41156.6 4.922E+04 4.418E+15 4.866E+00 1.189E+04 2.000E+05
6.64706378E-01  43038.2 5.962E+04 5.148E+15 5.144E+00 1.187E+04 2.000E+05
8.16889030E-01  45091.6 7.305E+04 6.050E+15 5.216E+00 1.163E+04 2.000E+05
1.02154924E+00  47394.2 9.118E+04 7.210E+15 5.077E+00 1.118E+04 2.000E+05
1.30608701E+00  50024.2 1.165E+05 8.752E+15 4.808E+00 1.062E+04 2.000E+05
1.71006827E+00  53012.7 1.528E+05 1.084E+16 4.490E+00 1.000E+04 2.000E+05
2.28907705E+00  56406.6 2.051E+05 1.369E+16 4.168E+00 9.352E+03 2.000E+05
3.12081223E+00  60176.0 2.808E+05 1.758E+16 3.876E+00 8.712E+03 2.000E+05
4.30768064E+00  64321.0 3.895E+05 2.282E+16 3.638E+00 8.151E+03 2.000E+05
5.98393678E+00  68806.9 5.438E+05 2.978E+16 3.457E+00 7.723E+03 2.000E+05
8.32288583E+00  73707.4 7.601E+05 3.886E+16 3.320E+00 7.383E+03 2.000E+05
1.15430502E+01  78957.7 1.059E+06 5.054E+16 3.238E+00 7.153E+03 2.000E+05
1.59273091E+01  84700.5 1.466E+06 6.524E+16 3.191E+00 6.996E+03 2.000E+05
2.18066001E+01  90853.6 2.013E+06 8.351E+16 3.189E+00 6.896E+03 2.000E+05
2.96135767E+01  97515.6 2.741E+06 1.059E+17 3.224E+00 6.780E+03 2.000E+05
RADK 2.2346E+03
EGIN                    ITERATION   9 COMPLETED
