TITLE SDSC GRID  [+1.0]   VTURB 2.0 KM/S
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE  10.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 6.79620890E-02  36440.4 5.398E+03 5.504E+14 2.788E+00 2.200E+04 2.000E+05
 8.32410999E-02  37253.9 6.587E+03 6.585E+14 3.028E+00 2.235E+04 2.000E+05
 1.02022001E-01  38156.1 8.042E+03 7.869E+14 3.282E+00 2.273E+04 2.000E+05
 1.25171193E-01  39166.6 9.826E+03 9.392E+14 3.541E+00 2.310E+04 2.000E+05
 1.53773664E-01  40303.2 1.202E+04 1.119E+15 3.822E+00 2.354E+04 2.000E+05
 1.89280106E-01  41584.8 1.473E+04 1.333E+15 4.087E+00 2.386E+04 2.000E+05
 2.33846125E-01  43031.3 1.812E+04 1.588E+15 4.314E+00 2.404E+04 2.000E+05
 2.90551703E-01  44674.0 2.242E+04 1.896E+15 4.490E+00 2.411E+04 2.000E+05
 3.63497027E-01  46542.3 2.796E+04 2.273E+15 4.640E+00 2.408E+04 2.000E+05
 4.57944116E-01  48651.6 3.513E+04 2.734E+15 4.754E+00 2.411E+04 2.000E+05
 5.82376244E-01  51057.6 4.458E+04 3.309E+15 4.785E+00 2.386E+04 2.000E+05
 7.48628944E-01  53774.8 5.730E+04 4.039E+15 4.723E+00 2.319E+04 2.000E+05
 9.74266134E-01  56811.8 7.469E+04 4.985E+15 4.632E+00 2.265E+04 2.000E+05
 1.28399183E+00  60223.7 9.881E+04 6.222E+15 4.461E+00 2.158E+04 2.000E+05
 1.71143383E+00  63992.1 1.325E+05 7.852E+15 4.321E+00 2.089E+04 2.000E+05
 2.29930384E+00  68174.8 1.792E+05 9.970E+15 4.195E+00 2.021E+04 2.000E+05
 3.10988758E+00  72773.4 2.442E+05 1.273E+16 4.047E+00 1.951E+04 2.000E+05
 4.22728641E+00  77797.9 3.345E+05 1.631E+16 3.925E+00 1.888E+04 2.000E+05
 5.74325998E+00  83262.7 4.576E+05 2.084E+16 3.894E+00 1.873E+04 2.000E+05
 7.78957566E+00  89196.0 6.242E+05 2.654E+16 3.821E+00 1.844E+04 2.000E+05
 1.05385600E+01  95627.8 8.485E+05 3.365E+16 3.848E+00 1.842E+04 2.000E+05
 1.41900978E+01 102585.5 1.146E+06 4.238E+16 3.854E+00 1.849E+04 2.000E+05
 1.90404081E+01 110110.3 1.542E+06 5.310E+16 3.873E+00 1.843E+04 2.000E+05
 2.54773805E+01 118226.4 2.069E+06 6.638E+16 3.909E+00 1.764E+04 2.000E+05
PRADK 3.4277E+03
BEGIN                    ITERATION  10 COMPLETED
