TEFF  13000.  GRAVITY 5.00000 LTE 
TITLE SDSC GRID  [+0.2]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.58490 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.52772825E-06   7373.8 4.506E-01 1.875E+11 3.962E-01 4.752E+02 2.000E+05
 4.58128158E-06   7738.2 4.560E-01 1.948E+11 3.962E-01 4.187E+02 2.000E+05
 5.95364518E-06   7794.3 5.926E-01 2.503E+11 4.139E-01 4.149E+02 2.000E+05
 7.81333451E-06   7866.2 7.778E-01 3.246E+11 4.367E-01 4.131E+02 2.000E+05
 1.01560383E-05   7938.6 1.011E+00 4.169E+11 4.633E-01 4.155E+02 2.000E+05
 1.30939699E-05   8015.0 1.304E+00 5.314E+11 4.937E-01 4.077E+02 2.000E+05
 1.67604853E-05   8090.9 1.669E+00 6.725E+11 5.289E-01 4.033E+02 2.000E+05
 2.13149442E-05   8167.3 2.122E+00 8.456E+11 5.689E-01 3.946E+02 2.000E+05
 2.69495160E-05   8243.4 2.684E+00 1.057E+12 6.144E-01 3.849E+02 2.000E+05
 3.38891522E-05   8318.8 3.375E+00 1.315E+12 6.668E-01 3.794E+02 2.000E+05
 4.23997478E-05   8394.7 4.223E+00 1.628E+12 7.264E-01 3.716E+02 2.000E+05
 5.27918771E-05   8469.8 5.258E+00 2.005E+12 7.951E-01 3.681E+02 2.000E+05
 6.54233003E-05   8545.1 6.517E+00 2.459E+12 8.742E-01 3.683E+02 2.000E+05
 8.07102629E-05   8621.1 8.040E+00 3.002E+12 9.652E-01 3.716E+02 2.000E+05
 9.91354532E-05   8697.8 9.875E+00 3.650E+12 1.070E+00 3.786E+02 2.000E+05
 1.21301598E-04   8777.1 1.208E+01 4.421E+12 1.186E+00 3.713E+02 2.000E+05
 1.47932493E-04   8853.5 1.474E+01 5.338E+12 1.318E+00 3.667E+02 2.000E+05
 1.79831232E-04   8926.8 1.792E+01 6.424E+12 1.469E+00 3.672E+02 2.000E+05
 2.17932276E-04   8997.8 2.171E+01 7.705E+12 1.643E+00 3.724E+02 2.000E+05
 2.63326689E-04   9066.9 2.623E+01 9.216E+12 1.841E+00 3.822E+02 2.000E+05
 3.17287601E-04   9134.5 3.161E+01 1.099E+13 2.067E+00 3.968E+02 2.000E+05
 3.81366395E-04   9204.2 3.799E+01 1.308E+13 2.321E+00 4.086E+02 2.000E+05
 4.57391194E-04   9272.5 4.556E+01 1.552E+13 2.611E+00 4.236E+02 2.000E+05
 5.47453358E-04   9340.3 5.453E+01 1.839E+13 2.940E+00 4.418E+02 2.000E+05
 6.54146127E-04   9410.0 6.515E+01 2.174E+13 3.309E+00 4.577E+02 2.000E+05
 7.80516964E-04   9478.1 7.773E+01 2.567E+13 3.727E+00 4.783E+02 2.000E+05
 9.30027695E-04   9545.1 9.261E+01 3.026E+13 4.203E+00 5.042E+02 2.000E+05
 1.10686659E-03   9614.7 1.102E+02 3.564E+13 4.738E+00 5.315E+02 2.000E+05
 1.31608277E-03   9684.8 1.310E+02 4.192E+13 5.340E+00 5.606E+02 2.000E+05
 1.56354332E-03   9753.0 1.556E+02 4.926E+13 6.022E+00 5.957E+02 2.000E+05
