EFF   4250.  GRAVITY 5.00000 LTE 
ITLE SDSC GRID  [-1.5]   VTURB 2.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.03162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
4.61450445E-03   2943.7 4.615E+02 5.898E+08 2.890E-05 1.204E-03 2.000E+05 0.000E+00 0.000E+00
6.02668157E-03   2960.2 6.027E+02 7.404E+08 3.408E-05 1.244E-03 2.000E+05 0.000E+00 0.000E+00
7.62702715E-03   2976.7 7.627E+02 9.167E+08 4.004E-05 1.271E-03 2.000E+05 0.000E+00 0.000E+00
9.44802396E-03   2993.7 9.448E+02 1.120E+09 4.683E-05 1.295E-03 2.000E+05 0.000E+00 0.000E+00
1.15273424E-02   3011.0 1.153E+03 1.355E+09 5.463E-05 1.313E-03 2.000E+05 0.000E+00 0.000E+00
1.39078105E-02   3028.5 1.391E+03 1.626E+09 6.357E-05 1.331E-03 2.000E+05 0.000E+00 0.000E+00
1.66403387E-02   3045.8 1.664E+03 1.939E+09 7.378E-05 1.351E-03 2.000E+05 0.000E+00 0.000E+00
1.97852556E-02   3063.1 1.978E+03 2.301E+09 8.547E-05 1.374E-03 2.000E+05 0.000E+00 0.000E+00
2.34045702E-02   3080.4 2.340E+03 2.719E+09 9.889E-05 1.402E-03 2.000E+05 0.000E+00 0.000E+00
2.75772601E-02   3098.0 2.757E+03 3.206E+09 1.144E-04 1.434E-03 2.000E+05 0.000E+00 0.000E+00
3.23890489E-02   3115.7 3.238E+03 3.771E+09 1.322E-04 1.470E-03 2.000E+05 0.000E+00 0.000E+00
3.79358177E-02   3134.0 3.792E+03 4.432E+09 1.530E-04 1.508E-03 2.000E+05 0.000E+00 0.000E+00
4.43260137E-02   3152.5 4.431E+03 5.202E+09 1.771E-04 1.551E-03 2.000E+05 0.000E+00 0.000E+00
5.16877685E-02   3171.3 5.167E+03 6.098E+09 2.051E-04 1.597E-03 2.000E+05 0.000E+00 0.000E+00
6.01673411E-02   3190.4 6.015E+03 7.142E+09 2.374E-04 1.646E-03 2.000E+05 0.000E+00 0.000E+00
6.99393715E-02   3209.5 6.992E+03 8.353E+09 2.746E-04 1.701E-03 2.000E+05 0.000E+00 0.000E+00
8.12056887E-02   3228.8 8.119E+03 9.761E+09 3.176E-04 1.764E-03 2.000E+05 0.000E+00 0.000E+00
9.42002837E-02   3248.2 9.418E+03 1.140E+10 3.671E-04 1.835E-03 2.000E+05 0.000E+00 0.000E+00
1.09193207E-01   3267.9 1.092E+04 1.330E+10 4.242E-04 1.913E-03 2.000E+05 0.000E+00 0.000E+00
1.26492299E-01   3287.9 1.265E+04 1.552E+10 4.903E-04 1.999E-03 2.000E+05 0.000E+00 0.000E+00
1.46466194E-01   3307.6 1.464E+04 1.808E+10 5.658E-04 2.092E-03 2.000E+05 0.000E+00 0.000E+00
1.69554308E-01   3327.4 1.695E+04 2.106E+10 6.526E-04 2.193E-03 2.000E+05 0.000E+00 0.000E+00
1.96282131E-01   3346.6 1.962E+04 2.447E+10 7.506E-04 2.305E-03 2.000E+05 0.000E+00 0.000E+00
2.27290063E-01   3365.5 2.273E+04 2.840E+10 8.622E-04 2.430E-03 2.000E+05 0.000E+00 0.000E+00
