1.76345874E-01   8457.8 1.723E+02 3.273E+13 2.500E+00 5.015E+01 2.000E+05
1.96898692E-01   8660.6 1.917E+02 4.050E+13 3.307E+00 6.358E+01 2.000E+05
2.17671323E-01   8894.8 2.110E+02 4.970E+13 4.338E+00 7.968E+01 2.000E+05
2.38979001E-01   9163.3 2.304E+02 6.004E+13 5.561E+00 9.788E+01 2.000E+05
2.61705847E-01   9471.7 2.507E+02 7.100E+13 6.795E+00 1.150E+02 2.000E+05
2.87379124E-01   9824.9 2.733E+02 8.187E+13 7.727E+00 1.264E+02 2.000E+05
3.18813542E-01  10226.4 3.007E+02 9.239E+13 8.088E+00 1.289E+02 2.000E+05
3.60548907E-01  10687.4 3.371E+02 1.033E+14 7.852E+00 1.231E+02 2.000E+05
4.19393900E-01  11213.2 3.890E+02 1.164E+14 7.264E+00 1.133E+02 2.000E+05
5.05716950E-01  11817.1 4.661E+02 1.340E+14 6.504E+00 1.017E+02 2.000E+05
6.34952387E-01  12505.6 5.829E+02 1.595E+14 5.793E+00 9.120E+01 2.000E+05
8.27707200E-01  13283.7 7.590E+02 1.965E+14 5.207E+00 8.239E+01 2.000E+05
1.11075428E+00  14149.0 1.020E+03 2.491E+14 4.782E+00 7.548E+01 2.000E+05
1.51368944E+00  15093.6 1.393E+03 3.218E+14 4.559E+00 7.137E+01 2.000E+05
2.06913379E+00  16117.9 1.910E+03 4.181E+14 4.458E+00 6.917E+01 2.000E+05
2.82314291E+00  17226.8 2.612E+03 5.410E+14 4.390E+00 6.769E+01 2.000E+05
3.84674144E+00  18431.6 3.567E+03 6.952E+14 4.302E+00 6.608E+01 2.000E+05
5.23783389E+00  19734.4 4.868E+03 8.890E+14 4.233E+00 6.484E+01 2.000E+05
7.11508269E+00  21151.7 6.624E+03 1.130E+15 4.202E+00 6.419E+01 2.000E+05
9.61933906E+00  22677.8 8.967E+03 1.428E+15 4.228E+00 6.439E+01 2.000E+05
1.29174604E+01  24335.7 1.205E+04 1.789E+15 4.308E+00 6.533E+01 2.000E+05
1.71977284E+01  26117.7 1.605E+04 2.220E+15 4.455E+00 6.693E+01 2.000E+05
2.26865446E+01  28041.1 2.117E+04 2.729E+15 4.660E+00 6.595E+01 2.000E+05
RADK 1.4677E+01
EGIN                    ITERATION   6 COMPLETED
