EFF   4250.  GRAVITY 4.00000 LTE 
ITLE SDSC GRID  [-1.5]   VTURB 2.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.03162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
1.30582529E-02   2740.3 1.306E+02 1.241E+08 1.021E-05 6.652E-04 2.000E+05 0.000E+00 0.000E+00
1.71175402E-02   2759.4 1.712E+02 1.599E+08 1.170E-05 6.920E-04 2.000E+05 0.000E+00 0.000E+00
2.18285225E-02   2781.0 2.183E+02 2.041E+08 1.348E-05 7.057E-04 2.000E+05 0.000E+00 0.000E+00
2.72773456E-02   2803.8 2.728E+02 2.574E+08 1.555E-05 7.164E-04 2.000E+05 0.000E+00 0.000E+00
3.35701004E-02   2827.2 3.357E+02 3.213E+08 1.797E-05 7.253E-04 2.000E+05 0.000E+00 0.000E+00
4.08250694E-02   2850.8 4.083E+02 3.976E+08 2.081E-05 7.337E-04 2.000E+05 0.000E+00 0.000E+00
4.91711340E-02   2875.1 4.917E+02 4.893E+08 2.415E-05 7.437E-04 2.000E+05 0.000E+00 0.000E+00
5.87487769E-02   2899.6 5.875E+02 5.988E+08 2.809E-05 7.531E-04 2.000E+05 0.000E+00 0.000E+00
6.97187808E-02   2924.3 6.972E+02 7.292E+08 3.274E-05 7.623E-04 2.000E+05 0.000E+00 0.000E+00
8.22589309E-02   2949.3 8.226E+02 8.847E+08 3.823E-05 7.725E-04 2.000E+05 0.000E+00 0.000E+00
9.65673877E-02   2974.5 9.657E+02 1.070E+09 4.471E-05 7.833E-04 2.000E+05 0.000E+00 0.000E+00
1.12863794E-01   2999.9 1.129E+03 1.289E+09 5.240E-05 7.948E-04 2.000E+05 0.000E+00 0.000E+00
1.31394469E-01   3025.6 1.314E+03 1.550E+09 6.149E-05 8.084E-04 2.000E+05 0.000E+00 0.000E+00
1.52441860E-01   3051.4 1.524E+03 1.858E+09 7.222E-05 8.237E-04 2.000E+05 0.000E+00 0.000E+00
1.76343437E-01   3077.0 1.763E+03 2.219E+09 8.479E-05 8.406E-04 2.000E+05 0.000E+00 0.000E+00
2.03490846E-01   3102.7 2.035E+03 2.646E+09 9.955E-05 8.594E-04 2.000E+05 0.000E+00 0.000E+00
2.34331199E-01   3128.4 2.343E+03 3.146E+09 1.168E-04 8.800E-04 2.000E+05 0.000E+00 0.000E+00
2.69395225E-01   3153.8 2.694E+03 3.730E+09 1.369E-04 9.029E-04 2.000E+05 0.000E+00 0.000E+00
3.09292140E-01   3179.2 3.093E+03 4.414E+09 1.604E-04 9.267E-04 2.000E+05 0.000E+00 0.000E+00
3.54737631E-01   3204.1 3.547E+03 5.208E+09 1.877E-04 9.529E-04 2.000E+05 0.000E+00 0.000E+00
4.06628204E-01   3228.3 4.066E+03 6.122E+09 2.189E-04 9.833E-04 2.000E+05 0.000E+00 0.000E+00
4.66024858E-01   3251.9 4.660E+03 7.178E+09 2.547E-04 1.018E-03 2.000E+05 0.000E+00 0.000E+00
5.34190822E-01   3274.7 5.342E+03 8.390E+09 2.955E-04 1.058E-03 2.000E+05 0.000E+00 0.000E+00
6.12614285E-01   3297.0 6.126E+03 9.786E+09 3.422E-04 1.103E-03 2.000E+05 0.000E+00 0.000E+00
