TITLE SDSC GRID  [-4.0]   VTURB 2.0 KM/S
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00010 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 1.10604351E-01  36402.0 9.817E+03 9.898E+14 1.743E+00 1.490E+04 2.000E+05
 1.34807500E-01  37251.8 1.187E+04 1.173E+15 1.930E+00 1.533E+04 2.000E+05
 1.63962345E-01  38177.6 1.433E+04 1.386E+15 2.135E+00 1.565E+04 2.000E+05
 1.99179009E-01  39186.0 1.730E+04 1.634E+15 2.351E+00 1.585E+04 2.000E+05
 2.41986050E-01  40288.0 2.090E+04 1.926E+15 2.568E+00 1.592E+04 2.000E+05
 2.94570121E-01  41499.4 2.532E+04 2.273E+15 2.770E+00 1.588E+04 2.000E+05
 3.60117583E-01  42851.0 3.084E+04 2.689E+15 2.940E+00 1.575E+04 2.000E+05
 4.43326667E-01  44372.6 3.786E+04 3.195E+15 3.058E+00 1.556E+04 2.000E+05
 5.51283784E-01  46116.0 4.699E+04 3.824E+15 3.109E+00 1.528E+04 2.000E+05
 6.94510698E-01  48125.4 5.915E+04 4.620E+15 3.094E+00 1.495E+04 2.000E+05
 8.88389700E-01  50459.6 7.568E+04 5.644E+15 3.021E+00 1.455E+04 2.000E+05
 1.15539489E+00  53156.8 9.856E+04 6.983E+15 2.903E+00 1.405E+04 2.000E+05
 1.52821010E+00  56255.7 1.307E+05 8.755E+15 2.759E+00 1.345E+04 2.000E+05
 2.05284699E+00  59760.2 1.763E+05 1.112E+16 2.611E+00 1.278E+04 2.000E+05
 2.79179275E+00  63660.5 2.410E+05 1.427E+16 2.476E+00 1.211E+04 2.000E+05
 3.82697207E+00  67943.2 3.323E+05 1.844E+16 2.366E+00 1.151E+04 2.000E+05
 5.26341103E+00  72587.2 4.598E+05 2.388E+16 2.287E+00 1.108E+04 2.000E+05
 7.23534727E+00  77663.7 6.355E+05 3.085E+16 2.230E+00 1.076E+04 2.000E+05
 9.91382918E+00  83123.7 8.747E+05 3.967E+16 2.204E+00 1.062E+04 2.000E+05
 1.35136598E+01  89112.1 1.197E+06 5.062E+16 2.193E+00 1.056E+04 2.000E+05
 1.83021645E+01  95510.4 1.625E+06 6.413E+16 2.212E+00 1.063E+04 2.000E+05
 2.46274051E+01 102518.5 2.190E+06 8.051E+16 2.237E+00 1.076E+04 2.000E+05
 3.29353203E+01 110036.7 2.930E+06 1.004E+17 2.274E+00 1.090E+04 2.000E+05
 4.38561255E+01 118158.6 3.905E+06 1.246E+17 2.309E+00 1.068E+04 2.000E+05
PRADK 4.7432E+03
BEGIN                    ITERATION   6 COMPLETED
