TITLE SDSC GRID  [-0.3]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.50120 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 1.01048945E-01  40067.0 8.443E+03 7.881E+14 1.819E+00 2.024E+04 2.000E+05
 1.24512930E-01  40921.5 1.031E+04 9.430E+14 1.967E+00 2.096E+04 2.000E+05
 1.53501628E-01  41895.1 1.259E+04 1.126E+15 2.119E+00 2.155E+04 2.000E+05
 1.89525282E-01  43008.3 1.540E+04 1.345E+15 2.265E+00 2.199E+04 2.000E+05
 2.34670404E-01  44281.8 1.892E+04 1.606E+15 2.400E+00 2.226E+04 2.000E+05
 2.91777265E-01  45726.8 2.336E+04 1.921E+15 2.518E+00 2.232E+04 2.000E+05
 3.64731660E-01  47364.7 2.903E+04 2.307E+15 2.616E+00 2.225E+04 2.000E+05
 4.58850561E-01  49225.3 3.635E+04 2.782E+15 2.690E+00 2.213E+04 2.000E+05
 5.81949160E-01  51339.3 4.596E+04 3.373E+15 2.721E+00 2.179E+04 2.000E+05
 7.45657776E-01  53740.2 5.880E+04 4.125E+15 2.708E+00 2.131E+04 2.000E+05
 9.66498995E-01  56486.6 7.623E+04 5.089E+15 2.659E+00 2.081E+04 2.000E+05
 1.26945421E+00  59606.1 1.003E+05 6.349E+15 2.562E+00 1.998E+04 2.000E+05
 1.69032432E+00  63147.7 1.342E+05 8.015E+15 2.454E+00 1.920E+04 2.000E+05
 2.27706296E+00  67115.2 1.819E+05 1.022E+16 2.345E+00 1.835E+04 2.000E+05
 3.09698395E+00  71518.5 2.492E+05 1.314E+16 2.238E+00 1.746E+04 2.000E+05
 4.23549896E+00  76335.4 3.436E+05 1.698E+16 2.165E+00 1.683E+04 2.000E+05
 5.79316787E+00  81584.9 4.735E+05 2.189E+16 2.123E+00 1.645E+04 2.000E+05
 7.89979791E+00  87287.4 6.497E+05 2.807E+16 2.103E+00 1.627E+04 2.000E+05
 1.07201679E+01  93485.4 8.860E+05 3.574E+16 2.105E+00 1.622E+04 2.000E+05
 1.44583488E+01 100187.0 1.199E+06 4.513E+16 2.126E+00 1.637E+04 2.000E+05
 1.93891359E+01 107466.0 1.611E+06 5.653E+16 2.151E+00 1.651E+04 2.000E+05
 2.58838926E+01 115311.8 2.152E+06 7.040E+16 2.178E+00 1.674E+04 2.000E+05
 3.44603186E+01 123837.0 2.866E+06 8.728E+16 2.195E+00 1.682E+04 2.000E+05
 4.57702756E+01 132960.0 3.809E+06 1.080E+17 2.228E+00 1.641E+04 2.000E+05
PRADK 7.4750E+03
BEGIN                    ITERATION   6 COMPLETED
