ITLE SDSC GRID  [-0.5]   VTURB 2.0 KM/S                                        
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.31620 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
1.21948673E-01  39089.1 1.034E+04 9.844E+14 2.057E+00 1.878E+04 2.000E+05
1.49531634E-01  40034.1 1.258E+04 1.171E+15 2.239E+00 1.929E+04 2.000E+05
1.83438717E-01  41093.9 1.531E+04 1.392E+15 2.420E+00 1.959E+04 2.000E+05
2.25462520E-01  42287.9 1.868E+04 1.654E+15 2.591E+00 1.978E+04 2.000E+05
2.78077146E-01  43638.3 2.290E+04 1.968E+15 2.745E+00 1.985E+04 2.000E+05
3.44706821E-01  45164.4 2.824E+04 2.349E+15 2.875E+00 1.978E+04 2.000E+05
4.30055478E-01  46885.7 3.510E+04 2.815E+15 2.977E+00 1.963E+04 2.000E+05
5.40696172E-01  48837.8 4.400E+04 3.391E+15 3.042E+00 1.943E+04 2.000E+05
6.86344943E-01  51051.5 5.576E+04 4.114E+15 3.056E+00 1.910E+04 2.000E+05
8.81754434E-01  53582.3 7.161E+04 5.037E+15 3.011E+00 1.860E+04 2.000E+05
1.14801654E+00  56467.4 9.336E+04 6.232E+15 2.927E+00 1.809E+04 2.000E+05
1.51671415E+00  59753.4 1.237E+05 7.806E+15 2.794E+00 1.728E+04 2.000E+05
2.03359868E+00  63463.1 1.667E+05 9.903E+15 2.655E+00 1.650E+04 2.000E+05
2.76000360E+00  67592.7 2.277E+05 1.270E+16 2.517E+00 1.563E+04 2.000E+05
3.78012553E+00  72143.8 3.142E+05 1.642E+16 2.397E+00 1.484E+04 2.000E+05
5.19564844E+00  77090.0 4.351E+05 2.128E+16 2.324E+00 1.434E+04 2.000E+05
7.13039241E+00  82479.1 6.012E+05 2.749E+16 2.279E+00 1.401E+04 2.000E+05
9.75300757E+00  88313.5 8.270E+05 3.531E+16 2.250E+00 1.384E+04 2.000E+05
1.32594616E+01  94653.0 1.129E+06 4.498E+16 2.262E+00 1.385E+04 2.000E+05
1.78983655E+01 101499.3 1.528E+06 5.678E+16 2.285E+00 1.399E+04 2.000E+05
2.40189489E+01 108922.5 2.054E+06 7.112E+16 2.311E+00 1.412E+04 2.000E+05
3.20819337E+01 116945.3 2.746E+06 8.855E+16 2.339E+00 1.427E+04 2.000E+05
4.27262091E+01 125568.3 3.661E+06 1.099E+17 2.362E+00 1.380E+04 2.000E+05
RADK 5.9770E+03
EGIN                    ITERATION   6 COMPLETED
