ITLE SDSC GRID  [-3.5]   VTURB 2.0 KM/S
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE  .0003162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
1.57851923E-01  43233.0 1.322E+04 1.149E+15 1.504E+00 2.086E+04 2.000E+05
1.96154297E-01  44323.6 1.624E+04 1.378E+15 1.588E+00 2.143E+04 2.000E+05
2.44780920E-01  45591.5 2.005E+04 1.655E+15 1.660E+00 2.177E+04 2.000E+05
3.07229508E-01  47063.3 2.493E+04 1.994E+15 1.714E+00 2.189E+04 2.000E+05
3.88389182E-01  48765.4 3.127E+04 2.415E+15 1.748E+00 2.184E+04 2.000E+05
4.95132532E-01  50717.3 3.963E+04 2.944E+15 1.763E+00 2.165E+04 2.000E+05
6.37187555E-01  52959.7 5.078E+04 3.614E+15 1.755E+00 2.135E+04 2.000E+05
8.28644932E-01  55536.4 6.588E+04 4.472E+15 1.727E+00 2.094E+04 2.000E+05
1.08941938E+00  58474.5 8.656E+04 5.581E+15 1.683E+00 2.042E+04 2.000E+05
1.44764325E+00  61822.6 1.152E+05 7.025E+15 1.629E+00 1.981E+04 2.000E+05
1.94158689E+00  65576.9 1.550E+05 8.911E+15 1.576E+00 1.915E+04 2.000E+05
2.62176567E+00  69750.5 2.102E+05 1.136E+16 1.529E+00 1.849E+04 2.000E+05
3.55313346E+00  74313.0 2.864E+05 1.453E+16 1.495E+00 1.793E+04 2.000E+05
4.81787068E+00  79280.4 3.905E+05 1.857E+16 1.474E+00 1.755E+04 2.000E+05
6.51957598E+00  84669.5 5.310E+05 2.365E+16 1.467E+00 1.736E+04 2.000E+05
8.78960809E+00  90521.5 7.186E+05 2.993E+16 1.473E+00 1.736E+04 2.000E+05
1.17942549E+01  96885.5 9.667E+05 3.762E+16 1.488E+00 1.750E+04 2.000E+05
1.57527033E+01 103773.1 1.293E+06 4.698E+16 1.509E+00 1.772E+04 2.000E+05
2.09574251E+01 111271.5 1.720E+06 5.830E+16 1.529E+00 1.795E+04 2.000E+05
2.78124231E+01 119342.2 2.282E+06 7.211E+16 1.546E+00 1.814E+04 2.000E+05
3.69057810E+01 128142.0 3.026E+06 8.905E+16 1.546E+00 1.815E+04 2.000E+05
4.90938178E+01 137605.7 4.026E+06 1.103E+17 1.528E+00 1.782E+04 2.000E+05
6.56298699E+01 147753.6 5.390E+06 1.376E+17 1.496E+00 1.715E+04 2.000E+05
RADK 1.1213E+04
EGIN                    ITERATION   6 COMPLETED
