EFF  23000.  GRAVITY 5.00000 LTE 
ITLE SDSC GRID  [-2.0]   VTURB 2.0 KM/S                                        
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.01000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
4.54998010E-06  12752.0 4.549E-01 1.289E+11 3.278E-01 1.979E+02 2.000E+05
5.34405837E-06  12753.0 5.343E-01 1.513E+11 3.278E-01 1.976E+02 2.000E+05
7.12515446E-06  12754.0 7.123E-01 2.016E+11 3.304E-01 2.038E+02 2.000E+05
9.49385381E-06  12755.0 9.488E-01 2.682E+11 3.338E-01 2.117E+02 2.000E+05
1.26293773E-05  12756.0 1.262E+00 3.562E+11 3.383E-01 2.209E+02 2.000E+05
1.67509115E-05  12772.5 1.673E+00 4.711E+11 3.439E-01 2.314E+02 2.000E+05
2.21508100E-05  12793.7 2.212E+00 6.208E+11 3.510E-01 2.442E+02 2.000E+05
2.91897931E-05  12826.5 2.914E+00 8.145E+11 3.598E-01 2.589E+02 2.000E+05
3.83193068E-05  12866.7 3.824E+00 1.064E+12 3.708E-01 2.760E+02 2.000E+05
5.01020999E-05  12917.9 4.999E+00 1.383E+12 3.841E-01 2.950E+02 2.000E+05
6.52272521E-05  12979.0 6.507E+00 1.790E+12 4.001E-01 3.157E+02 2.000E+05
8.45357026E-05  13050.3 8.431E+00 2.303E+12 4.190E-01 3.375E+02 2.000E+05
1.09052721E-04  13130.2 1.087E+01 2.949E+12 4.412E-01 3.597E+02 2.000E+05
1.40016199E-04  13216.0 1.396E+01 3.757E+12 4.671E-01 3.825E+02 2.000E+05
1.78905162E-04  13300.5 1.783E+01 4.764E+12 4.973E-01 4.085E+02 2.000E+05
2.27481446E-04  13384.4 2.267E+01 6.012E+12 5.322E-01 4.389E+02 2.000E+05
2.87846499E-04  13468.8 2.868E+01 7.550E+12 5.725E-01 4.747E+02 2.000E+05
3.62514577E-04  13558.1 3.611E+01 9.434E+12 6.184E-01 5.157E+02 2.000E+05
4.54526991E-04  13655.9 4.526E+01 1.173E+13 6.702E-01 5.603E+02 2.000E+05
5.67589103E-04  13762.7 5.650E+01 1.452E+13 7.282E-01 6.083E+02 2.000E+05
7.06236184E-04  13880.3 7.028E+01 1.791E+13 7.924E-01 6.585E+02 2.000E+05
8.76029461E-04  14008.9 8.714E+01 2.200E+13 8.633E-01 7.101E+02 2.000E+05
1.08374823E-03  14148.6 1.078E+02 2.694E+13 9.415E-01 7.623E+02 2.000E+05
1.33751931E-03  14299.1 1.329E+02 3.289E+13 1.029E+00 8.150E+02 2.000E+05
1.64710038E-03  14455.2 1.636E+02 4.006E+13 1.125E+00 8.695E+02 2.000E+05
2.02424900E-03  14615.0 2.010E+02 4.869E+13 1.232E+00 9.272E+02 2.000E+05
2.48293061E-03  14775.6 2.464E+02 5.907E+13 1.353E+00 9.903E+02 2.000E+05
3.03964966E-03  14935.3 3.015E+02 7.152E+13 1.488E+00 1.062E+03 2.000E+05
3.71364200E-03  15094.5 3.682E+02 8.644E+13 1.641E+00 1.145E+03 2.000E+05
4.52724465E-03  15250.2 4.486E+02 1.042E+14 1.815E+00 1.244E+03 2.000E+05
5.50704449E-03  15404.5 5.453E+02 1.255E+14 2.011E+00 1.366E+03 2.000E+05
