EFF   8250.  GRAVITY 2.50000 LTE 
ITLE SDSC GRID  [-1.0]   VTURB 2.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.10000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
3.56990484E-06   5051.7 1.125E-03 1.654E+08 3.735E-02 1.122E+00 2.000E+05 0.000E+00 0.000E+00
4.82445315E-06   5063.0 1.520E-03 2.018E+08 3.355E-02 1.088E+00 2.000E+05 0.000E+00 0.000E+00
6.70967369E-06   5070.6 2.114E-03 2.471E+08 2.937E-02 1.049E+00 2.000E+05 0.000E+00 0.000E+00
9.55674288E-06   5087.6 3.012E-03 3.142E+08 2.619E-02 1.018E+00 2.000E+05 0.000E+00 0.000E+00
1.38478246E-05   5105.3 4.364E-03 4.036E+08 2.323E-02 9.861E-01 2.000E+05 0.000E+00 0.000E+00
2.02310687E-05   5131.1 6.377E-03 5.318E+08 2.105E-02 9.579E-01 2.000E+05 0.000E+00 0.000E+00
2.95593617E-05   5161.3 9.318E-03 7.085E+08 1.934E-02 9.294E-01 2.000E+05 0.000E+00 0.000E+00
4.29176034E-05   5198.9 1.353E-02 9.590E+08 1.823E-02 9.024E-01 2.000E+05 0.000E+00 0.000E+00
6.16177738E-05   5241.2 1.943E-02 1.305E+09 1.752E-02 8.735E-01 2.000E+05 0.000E+00 0.000E+00
8.73313923E-05   5287.4 2.754E-02 1.779E+09 1.713E-02 8.421E-01 2.000E+05 0.000E+00 0.000E+00
1.22179093E-04   5335.9 3.853E-02 2.418E+09 1.694E-02 8.076E-01 2.000E+05 0.000E+00 0.000E+00
1.68980294E-04   5385.2 5.329E-02 3.265E+09 1.687E-02 7.708E-01 2.000E+05 0.000E+00 0.000E+00
2.31564189E-04   5434.0 7.304E-02 4.374E+09 1.684E-02 7.338E-01 2.000E+05 0.000E+00 0.000E+00
3.15213286E-04   5481.7 9.943E-02 5.808E+09 1.679E-02 6.993E-01 2.000E+05 0.000E+00 0.000E+00
4.27161046E-04   5528.0 1.348E-01 7.652E+09 1.671E-02 6.686E-01 2.000E+05 0.000E+00 0.000E+00
5.77258195E-04   5573.1 1.821E-01 1.002E+10 1.661E-02 6.419E-01 2.000E+05 0.000E+00 0.000E+00
7.78691648E-04   5617.6 2.457E-01 1.306E+10 1.651E-02 6.190E-01 2.000E+05 0.000E+00 0.000E+00
1.04869909E-03   5662.0 3.309E-01 1.697E+10 1.644E-02 5.991E-01 2.000E+05 0.000E+00 0.000E+00
1.40970244E-03   5706.5 4.449E-01 2.201E+10 1.642E-02 5.816E-01 2.000E+05 0.000E+00 0.000E+00
1.89095556E-03   5750.8 5.968E-01 2.844E+10 1.645E-02 5.671E-01 2.000E+05 0.000E+00 0.000E+00
2.53036515E-03   5794.8 7.986E-01 3.664E+10 1.655E-02 5.563E-01 2.000E+05 0.000E+00 0.000E+00
3.37582913E-03   5839.1 1.066E+00 4.707E+10 1.674E-02 5.502E-01 2.000E+05 0.000E+00 0.000E+00
4.48515275E-03   5884.6 1.416E+00 6.042E+10 1.709E-02 5.487E-01 2.000E+05 0.000E+00 0.000E+00
5.92437945E-03   5932.1 1.870E+00 7.752E+10 1.768E-02 5.509E-01 2.000E+05 0.000E+00 0.000E+00
