TEFF  16000.  GRAVITY 4.50000 LTE 
TITLE SDSC GRID  [-3.0]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00100 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 5.61198128E-06   9472.0 1.771E-01 6.457E+10 3.034E-01 4.140E+01 2.000E+05
 5.90227772E-06   9524.8 1.863E-01 6.754E+10 3.034E-01 4.128E+01 2.000E+05
 7.82546028E-06   9525.8 2.470E-01 8.952E+10 3.082E-01 4.282E+01 2.000E+05
 1.03708729E-05   9526.8 3.274E-01 1.186E+11 3.144E-01 4.481E+01 2.000E+05
 1.36865827E-05   9546.4 4.321E-01 1.562E+11 3.219E-01 4.701E+01 2.000E+05
 1.79982997E-05   9570.2 5.682E-01 2.048E+11 3.311E-01 4.963E+01 2.000E+05
 2.35656407E-05   9599.3 7.440E-01 2.673E+11 3.424E-01 5.272E+01 2.000E+05
 3.07267868E-05   9635.6 9.701E-01 3.472E+11 3.559E-01 5.626E+01 2.000E+05
 3.98909482E-05   9680.3 1.259E+00 4.485E+11 3.718E-01 6.024E+01 2.000E+05
 5.15614200E-05   9735.6 1.628E+00 5.762E+11 3.902E-01 6.448E+01 2.000E+05
 6.63514910E-05   9801.0 2.094E+00 7.363E+11 4.115E-01 6.893E+01 2.000E+05
 8.50150432E-05   9877.1 2.683E+00 9.359E+11 4.357E-01 7.343E+01 2.000E+05
 1.08474446E-04   9962.8 3.423E+00 1.184E+12 4.630E-01 7.796E+01 2.000E+05
 1.37858925E-04  10057.4 4.350E+00 1.490E+12 4.938E-01 8.244E+01 2.000E+05
 1.74536540E-04  10158.6 5.507E+00 1.867E+12 5.285E-01 8.671E+01 2.000E+05
 2.20148184E-04  10262.8 6.945E+00 2.330E+12 5.678E-01 9.076E+01 2.000E+05
 2.76627634E-04  10365.5 8.726E+00 2.898E+12 6.129E-01 9.475E+01 2.000E+05
 3.46209207E-04  10462.0 1.092E+01 3.592E+12 6.652E-01 9.900E+01 2.000E+05
 4.31398897E-04  10547.0 1.361E+01 4.439E+12 7.271E-01 1.041E+02 2.000E+05
 5.34904336E-04  10616.0 1.687E+01 5.465E+12 8.013E-01 1.112E+02 2.000E+05
 6.59598455E-04  10667.9 2.080E+01 6.702E+12 8.905E-01 1.213E+02 2.000E+05
 8.08635900E-04  10706.2 2.549E+01 8.181E+12 9.969E-01 1.351E+02 2.000E+05
 9.85684878E-04  10738.4 3.106E+01 9.932E+12 1.121E+00 1.530E+02 2.000E+05
 1.19553348E-03  10776.0 3.766E+01 1.199E+13 1.261E+00 1.732E+02 2.000E+05
 1.44418836E-03  10817.7 4.548E+01 1.442E+13 1.420E+00 1.957E+02 2.000E+05
 1.73864076E-03  10862.8 5.473E+01 1.726E+13 1.599E+00 2.209E+02 2.000E+05
 2.08716214E-03  10911.3 6.567E+01 2.060E+13 1.802E+00 2.492E+02 2.000E+05
 2.49963449E-03  10964.1 7.861E+01 2.452E+13 2.031E+00 2.808E+02 2.000E+05
 2.98760159E-03  11018.5 9.389E+01 2.912E+13 2.289E+00 3.166E+02 2.000E+05
 3.56592166E-03  11085.6 1.120E+02 3.450E+13 2.571E+00 3.548E+02 2.000E+05
