 1.17388367E-02   6381.1 3.411E-01 7.022E+10 9.721E-02 2.494E+00 2.000E+05 0.000E+00 0.000E+00
 1.50736618E-02   6447.2 4.383E-01 9.029E+10 1.026E-01 2.502E+00 2.000E+05 0.000E+00 0.000E+00
 1.92882690E-02   6511.8 5.610E-01 1.153E+11 1.083E-01 2.527E+00 2.000E+05 0.000E+00 0.000E+00
 2.46072163E-02   6575.6 7.157E-01 1.466E+11 1.145E-01 2.569E+00 2.000E+05 0.000E+00 0.000E+00
 3.13015166E-02   6639.0 9.101E-01 1.855E+11 1.216E-01 2.625E+00 2.000E+05 0.000E+00 0.000E+00
 3.96954297E-02   6702.4 1.153E+00 2.339E+11 1.295E-01 2.696E+00 2.000E+05 0.000E+00 0.000E+00
 5.01770538E-02   6765.5 1.456E+00 2.937E+11 1.386E-01 2.787E+00 2.000E+05 0.000E+00 0.000E+00
 6.32029832E-02   6828.6 1.831E+00 3.672E+11 1.492E-01 2.904E+00 2.000E+05 0.000E+00 0.000E+00
 7.93042554E-02   6892.0 2.292E+00 4.574E+11 1.614E-01 3.052E+00 2.000E+05 0.000E+00 0.000E+00
 9.90792197E-02   6956.3 2.855E+00 5.677E+11 1.759E-01 3.242E+00 2.000E+05 0.000E+00 0.000E+00
 1.23161758E-01   7022.9 3.536E+00 7.029E+11 1.935E-01 3.482E+00 2.000E+05 0.000E+00 0.000E+00
 1.52203178E-01   7092.9 4.349E+00 8.687E+11 2.151E-01 3.786E+00 2.000E+05 0.000E+00 0.000E+00
 1.86804243E-01   7168.2 5.306E+00 1.073E+12 2.424E-01 4.173E+00 2.000E+05 0.000E+00 0.000E+00
 2.27420327E-01   7250.7 6.410E+00 1.324E+12 2.776E-01 4.685E+00 2.000E+05 0.000E+00 0.000E+00
 2.74228186E-01   7343.6 7.656E+00 1.635E+12 3.246E-01 5.370E+00 2.000E+05 0.000E+00 0.000E+00
 3.26998929E-01   7450.6 9.017E+00 2.021E+12 3.884E-01 6.293E+00 2.000E+05 0.000E+00 0.000E+00
 3.85103012E-01   7574.9 1.045E+01 2.496E+12 4.757E-01 7.536E+00 2.000E+05 0.000E+00 0.000E+00
 4.47737735E-01   7721.4 1.191E+01 3.074E+12 5.935E-01 9.118E+00 2.000E+05 0.000E+00 0.000E+00
 5.14308114E-01   7890.4 1.335E+01 3.747E+12 7.473E-01 1.111E+01 2.000E+05 0.000E+00 0.000E+00
 5.84717685E-01   8086.2 1.471E+01 4.492E+12 9.380E-01 1.349E+01 2.000E+05 0.000E+00 0.000E+00
 6.60622469E-01   8312.8 1.599E+01 5.259E+12 1.146E+00 1.584E+01 2.000E+05 0.000E+00 0.000E+00
 7.45234124E-01   8571.5 1.724E+01 5.979E+12 1.338E+00 1.781E+01 2.000E+05 0.000E+00 0.000E+00
 8.44780577E-01   8866.0 1.855E+01 6.614E+12 1.473E+00 1.885E+01 2.000E+05 0.000E+00 0.000E+00
 9.69062861E-01   9199.4 2.013E+01 7.193E+12 1.533E+00 1.893E+01 2.000E+05 0.000E+00 0.000E+00
 1.13204622E+00   9574.2 2.225E+01 7.816E+12 1.531E+00 1.826E+01 2.000E+05 0.000E+00 0.000E+00
 1.35239488E+00   9998.6 2.530E+01 8.613E+12 1.495E+00 1.738E+01 2.000E+05 0.000E+00 0.000E+00
 1.65574462E+00  10470.3 2.979E+01 9.748E+12 1.437E+00 1.626E+01 2.000E+05 0.000E+00 0.000E+00
 2.07725730E+00  11004.8 3.646E+01 1.139E+13 1.380E+00 1.540E+01 2.000E+05 0.000E+00 0.000E+00
 2.66129699E+00  11603.4 4.613E+01 1.370E+13 1.331E+00 1.477E+01 2.000E+05 0.000E+00 0.000E+00
 3.47104690E+00  12287.5 6.005E+01 1.689E+13 1.278E+00 1.416E+01 2.000E+05 0.000E+00 0.000E+00
 4.58590134E+00  13045.7 7.970E+01 2.125E+13 1.249E+00 1.386E+01 2.000E+05 2.922E-17 0.000E+00
 6.09982165E+00  13898.9 1.068E+02 2.704E+13 1.232E+00 1.367E+01 2.000E+05 2.020E-16 4.225E+01
 8.12576193E+00  14829.0 1.431E+02 3.443E+13 1.237E+00 1.370E+01 2.000E+05 1.413E-16 3.458E+01
 1.08395635E+01  15852.9 1.920E+02 4.357E+13 1.222E+00 1.351E+01 2.000E+05 1.289E-17 0.000E+00
 1.44829461E+01  16960.0 2.580E+02 5.494E+13 1.220E+00 1.349E+01 2.000E+05 0.000E+00 0.000E+00
 1.93567838E+01  18168.6 3.466E+02 6.898E+13 1.214E+00 1.341E+01 2.000E+05 0.000E+00 0.000E+00
 2.58717156E+01  19472.6 4.652E+02 8.643E+13 1.214E+00 1.342E+01 2.000E+05 0.000E+00 0.000E+00
 3.46154424E+01  20888.9 6.254E+02 1.083E+14 1.198E+00 1.318E+01 2.000E+05 0.000E+00 0.000E+00
 4.64056635E+01  22413.8 8.436E+02 1.362E+14 1.190E+00 1.307E+01 2.000E+05 0.000E+00 0.000E+00
 6.21464043E+01  24063.4 1.136E+03 1.709E+14 1.197E+00 1.302E+01 2.000E+05 8.085E-13 0.000E+00
 8.27308401E+01  25833.7 1.522E+03 2.132E+14 1.233E+00 1.276E+01 2.000E+05 6.636E-12 7.316E+02
PRADK 7.8515E+00
BEGIN                    ITERATION  15 COMPLETED
