6.02453770E-02   6019.6 1.894E+00 9.415E+10 2.129E-02 1.837E-01 2.000E+05 0.000E+00 0.000E+00
8.16784262E-02   6036.3 2.568E+00 1.143E+11 2.027E-02 1.784E-01 2.000E+05 0.000E+00 0.000E+00
1.11587577E-01   6053.4 3.508E+00 1.394E+11 1.947E-02 1.749E-01 2.000E+05 0.000E+00 0.000E+00
1.52853839E-01   6071.6 4.806E+00 1.704E+11 1.894E-02 1.733E-01 2.000E+05 0.000E+00 0.000E+00
2.08853428E-01   6092.2 6.567E+00 2.090E+11 1.879E-02 1.744E-01 2.000E+05 0.000E+00 0.000E+00
2.83406933E-01   6114.8 8.911E+00 2.564E+11 1.900E-02 1.780E-01 2.000E+05 0.000E+00 0.000E+00
3.80505604E-01   6141.2 1.196E+01 3.150E+11 1.967E-02 1.849E-01 2.000E+05 0.000E+00 0.000E+00
5.04319053E-01   6169.9 1.586E+01 3.861E+11 2.077E-02 1.949E-01 2.000E+05 0.000E+00 0.000E+00
6.58811969E-01   6203.5 2.071E+01 4.741E+11 2.244E-02 2.091E-01 2.000E+05 0.000E+00 0.000E+00
8.47715759E-01   6240.5 2.664E+01 5.813E+11 2.469E-02 2.277E-01 2.000E+05 0.000E+00 0.000E+00
1.07437456E+00   6283.0 3.376E+01 7.143E+11 2.771E-02 2.527E-01 2.000E+05 0.000E+00 0.000E+00
1.34080828E+00   6332.2 4.211E+01 8.813E+11 3.175E-02 2.859E-01 2.000E+05 0.000E+00 0.000E+00
1.64748829E+00   6389.6 5.171E+01 1.094E+12 3.719E-02 3.308E-01 2.000E+05 0.000E+00 0.000E+00
1.99236758E+00   6457.5 6.249E+01 1.372E+12 4.465E-02 3.925E-01 2.000E+05 0.000E+00 0.000E+00
2.37010081E+00   6538.2 7.427E+01 1.742E+12 5.514E-02 4.797E-01 2.000E+05 0.000E+00 0.000E+00
2.77146050E+00   6635.0 8.675E+01 2.247E+12 7.037E-02 6.069E-01 2.000E+05 0.000E+00 0.000E+00
3.18293373E+00   6751.7 9.948E+01 2.954E+12 9.336E-02 7.987E-01 2.000E+05 0.000E+00 0.000E+00
