TEFF  10000.  GRAVITY 2.00000 LTE 
TITLE SDSC GRID  [-0.2]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.63100 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 6.88032889E-06   5689.3 5.171E-04 2.724E+08 2.691E-01 2.486E+01 2.000E+05
 6.88614455E-06   5902.1 5.175E-04 2.868E+08 2.691E-01 2.266E+01 2.000E+05
 8.82232790E-06   5931.8 6.678E-04 3.661E+08 2.669E-01 2.211E+01 2.000E+05
 1.17951713E-05   5976.9 9.004E-04 4.877E+08 2.653E-01 2.142E+01 2.000E+05
 1.57806658E-05   6024.6 1.215E-03 6.503E+08 2.641E-01 2.063E+01 2.000E+05
 2.11172068E-05   6075.8 1.641E-03 8.675E+08 2.631E-01 1.977E+01 2.000E+05
 2.82555263E-05   6129.0 2.217E-03 1.158E+09 2.625E-01 1.887E+01 2.000E+05
 3.78006447E-05   6183.1 2.996E-03 1.545E+09 2.618E-01 1.792E+01 2.000E+05
 5.05742094E-05   6237.3 4.052E-03 2.062E+09 2.609E-01 1.689E+01 2.000E+05
 6.76621493E-05   6291.1 5.481E-03 2.752E+09 2.599E-01 1.597E+01 2.000E+05
 9.05349126E-05   6345.1 7.413E-03 3.671E+09 2.590E-01 1.515E+01 2.000E+05
 1.21137366E-04   6400.1 1.002E-02 4.892E+09 2.582E-01 1.443E+01 2.000E+05
 1.61991527E-04   6457.6 1.353E-02 6.510E+09 2.584E-01 1.402E+01 2.000E+05
 2.16367625E-04   6517.0 1.821E-02 8.644E+09 2.591E-01 1.367E+01 2.000E+05
 2.88566019E-04   6578.0 2.445E-02 1.145E+10 2.605E-01 1.340E+01 2.000E+05
 3.84235201E-04   6640.0 3.275E-02 1.512E+10 2.624E-01 1.311E+01 2.000E+05
 5.10787300E-04   6702.9 4.377E-02 1.993E+10 2.648E-01 1.273E+01 2.000E+05
 6.77805837E-04   6766.6 5.837E-02 2.621E+10 2.679E-01 1.250E+01 2.000E+05
 8.97488639E-04   6832.7 7.761E-02 3.438E+10 2.722E-01 1.239E+01 2.000E+05
 1.18503857E-03   6902.0 1.028E-01 4.496E+10 2.780E-01 1.239E+01 2.000E+05
 1.55938162E-03   6975.9 1.356E-01 5.863E+10 2.855E-01 1.234E+01 2.000E+05
 2.04381052E-03   7053.5 1.781E-01 7.617E+10 2.951E-01 1.233E+01 2.000E+05
 2.66735008E-03   7134.2 2.328E-01 9.859E+10 3.063E-01 1.221E+01 2.000E+05
 3.46674435E-03   7214.6 3.030E-01 1.271E+11 3.191E-01 1.212E+01 2.000E+05
 4.48867713E-03   7293.4 3.928E-01 1.630E+11 3.333E-01 1.206E+01 2.000E+05
 5.79163703E-03   7369.4 5.074E-01 2.082E+11 3.491E-01 1.210E+01 2.000E+05
 7.44786526E-03   7442.8 6.528E-01 2.648E+11 3.668E-01 1.227E+01 2.000E+05
 9.54544157E-03   7514.2 8.365E-01 3.352E+11 3.870E-01 1.258E+01 2.000E+05
 1.21907813E-02   7584.5 1.067E+00 4.224E+11 4.101E-01 1.303E+01 2.000E+05
 1.55121804E-02   7657.2 1.355E+00 5.303E+11 4.364E-01 1.340E+01 2.000E+05
