EFF   5500.  GRAVITY 4.00000 LTE 
ITLE SDSC GRID  [-1.0]   VTURB 2.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.10000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
2.58282013E-03   3741.4 2.583E+01 5.902E+08 5.163E-05 5.341E-03 2.000E+05 0.000E+00 0.000E+00
3.38335638E-03   3753.0 3.383E+01 7.634E+08 5.948E-05 5.783E-03 2.000E+05 0.000E+00 0.000E+00
4.31208852E-03   3763.8 4.312E+01 9.620E+08 6.824E-05 6.264E-03 2.000E+05 0.000E+00 0.000E+00
5.39248090E-03   3777.5 5.392E+01 1.191E+09 7.817E-05 6.664E-03 2.000E+05 0.000E+00 0.000E+00
6.65032666E-03   3793.0 6.650E+01 1.457E+09 8.948E-05 6.987E-03 2.000E+05 0.000E+00 0.000E+00
8.11628706E-03   3810.3 8.116E+01 1.764E+09 1.023E-04 7.260E-03 2.000E+05 0.000E+00 0.000E+00
9.82597463E-03   3829.3 9.826E+01 2.122E+09 1.170E-04 7.471E-03 2.000E+05 0.000E+00 0.000E+00
1.18215224E-02   3850.2 1.182E+02 2.538E+09 1.336E-04 7.625E-03 2.000E+05 0.000E+00 0.000E+00
1.41510323E-02   3872.2 1.415E+02 3.023E+09 1.527E-04 7.712E-03 2.000E+05 0.000E+00 0.000E+00
1.68689361E-02   3895.0 1.687E+02 3.587E+09 1.745E-04 7.740E-03 2.000E+05 0.000E+00 0.000E+00
2.00382883E-02   3918.2 2.004E+02 4.245E+09 1.997E-04 7.726E-03 2.000E+05 0.000E+00 0.000E+00
2.37322924E-02   3941.6 2.373E+02 5.009E+09 2.285E-04 7.682E-03 2.000E+05 0.000E+00 0.000E+00
2.80359165E-02   3965.0 2.804E+02 5.899E+09 2.616E-04 7.619E-03 2.000E+05 0.000E+00 0.000E+00
3.30486640E-02   3988.5 3.305E+02 6.933E+09 2.995E-04 7.585E-03 2.000E+05 0.000E+00 0.000E+00
3.88888223E-02   4012.0 3.889E+02 8.136E+09 3.427E-04 7.624E-03 2.000E+05 0.000E+00 0.000E+00
4.56925537E-02   4035.6 4.569E+02 9.537E+09 3.924E-04 7.651E-03 2.000E+05 0.000E+00 0.000E+00
5.36157109E-02   4059.1 5.362E+02 1.116E+10 4.494E-04 7.678E-03 2.000E+05 0.000E+00 0.000E+00
6.28400424E-02   4082.2 6.284E+02 1.306E+10 5.148E-04 7.714E-03 2.000E+05 0.000E+00 0.000E+00
7.35774197E-02   4105.0 7.358E+02 1.525E+10 5.898E-04 7.769E-03 2.000E+05 0.000E+00 0.000E+00
8.60748831E-02   4127.4 8.607E+02 1.780E+10 6.757E-04 7.848E-03 2.000E+05 0.000E+00 0.000E+00
1.00620215E-01   4149.4 1.006E+03 2.076E+10 7.742E-04 7.959E-03 2.000E+05 0.000E+00 0.000E+00
1.17549439E-01   4171.2 1.175E+03 2.418E+10 8.871E-04 8.155E-03 2.000E+05 0.000E+00 0.000E+00
1.37251668E-01   4192.7 1.373E+03 2.815E+10 1.017E-03 8.447E-03 2.000E+05 0.000E+00 0.000E+00
1.60176324E-01   4214.4 1.602E+03 3.277E+10 1.165E-03 8.772E-03 2.000E+05 0.000E+00 0.000E+00
